Site,Percent_Bare,Percent_Litter,Percent_Alter,Percent_Distichlis,Percent_Patens,Percent_Phrag,Percent_Salicornia,Percent_Juncus,Percent_Baccharius,Percent_SeaLavender,Percent_Sueda ,Percent_Iva,Percent_Arrowleaf
LM1,25,10,47,15,NA,NA,3,NA,NA,NA,NA,NA,NA
LM2,15,10,73,1,NA,NA,1,NA,NA,NA,NA,NA,NA
LM3,25,10,65,0,NA,NA,0,NA,NA,NA,NA,NA,NA
LM4,10,15,73,0,NA,NA,2,NA,NA,NA,NA,NA,NA
LM5,15,15,68,2,NA,NA,0,NA,NA,NA,NA,NA,NA
HM1,15,20,10,16,38,0,1,0,NA,0,0,NA,NA
HM2,5,10,0,20,45,18,1,3,NA,0,0,NA,NA
HM3,10,17,30,2,40,0,1,0,NA,0,0,NA,NA
HM4,1,44,0,20,35,0,0,0,NA,0,0,NA,NA
HM5,5,30,1,50,10,0,0,1,NA,1,1,NA,NA
PH1,10,22,0,18,NA,35,7,NA,7,0,NA,1,0
PH2,5,35,1,20,NA,38,1,NA,0,2,NA,0,0
PH3,0,35,1,0,NA,47,0,NA,15,0,NA,0,2
PH4,25,10,20,3,NA,45,1,NA,0,0,NA,0,0
PH5,10,10,10,15,NA,53,2,NA,0,0,NA,0,0
